Unique ID,Case name,Bus name,Bus voltage [kV],Run#,Tswitch_a [s],Tswitch_b [s],Tswitch_c [s],Fault_type,Fault_time [s],LGp [kV],LGr [kV],LLp [kV],LLr [kV],LGrm [kV],LLrm [kV],LLs [kV],LLe [kV],LGp [pu],LGr [pu],LLp [pu],LLr [pu],LGrm [pu],LLrm [pu],LLs [pu],LLe [pu],TOV_dur [s]
C29_S1_N1_F_MM_230_HF1_1,C29_S1_N1_F,MM_230_HF1,230,1.0,2.1,2.1,2.1,None,102.1,208.4,132.4,362.4,229.8,121.6,210.6,229.3,226.7,1.11,0.997,1.114,0.999,0.916,0.916,0.997,0.986,0.0
C29_S1_N1_F_MM_230_HF1_2,C29_S1_N1_F,MM_230_HF1,230,2.0,2.101,2.101,2.101,None,102.101,208.3,133.0,360.2,230.1,121.9,209.5,229.3,226.8,1.109,1.002,1.107,1.0,0.918,0.911,0.997,0.986,0.0
C29_S1_N1_F_MM_230_HF1_3,C29_S1_N1_F,MM_230_HF1,230,3.0,2.102,2.102,2.102,None,102.102,207.4,133.4,362.7,229.4,122.3,209.5,229.3,227.0,1.104,1.005,1.115,0.997,0.921,0.911,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF1_4,C29_S1_N1_F,MM_230_HF1,230,4.0,2.103,2.103,2.103,None,102.103,206.1,133.5,366.0,229.5,122.4,210.7,229.3,227.1,1.097,1.005,1.125,0.998,0.922,0.916,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF1_5,C29_S1_N1_F,MM_230_HF1,230,5.0,2.104,2.104,2.104,None,102.104,208.5,133.3,366.0,230.2,122.9,213.4,229.3,227.3,1.11,1.004,1.125,1.001,0.926,0.928,0.997,0.988,0.0
C29_S1_N1_F_MM_230_HF1_6,C29_S1_N1_F,MM_230_HF1,230,6.0,2.105,2.105,2.105,None,102.105,209.4,133.0,364.3,230.1,124.0,216.7,229.3,227.4,1.115,1.002,1.12,1.0,0.934,0.942,0.997,0.989,0.0
C29_S1_N1_F_MM_230_HF1_7,C29_S1_N1_F,MM_230_HF1,230,7.0,2.106,2.106,2.106,None,102.106,209.3,132.6,360.5,229.6,125.6,219.0,229.3,227.6,1.115,0.999,1.108,0.998,0.946,0.952,0.997,0.99,0.0
C29_S1_N1_F_MM_230_HF1_8,C29_S1_N1_F,MM_230_HF1,230,8.0,2.107,2.107,2.107,None,102.107,205.0,132.4,353.0,229.3,127.8,221.9,229.3,228.0,1.092,0.997,1.085,0.997,0.962,0.965,0.997,0.991,0.0
C29_S1_N1_F_MM_230_HF1_9,C29_S1_N1_F,MM_230_HF1,230,9.0,2.108,2.108,2.108,None,102.108,198.7,132.4,343.0,229.3,129.9,224.8,229.3,228.4,1.058,0.997,1.055,0.997,0.978,0.977,0.997,0.993,0.0
C29_S1_N1_F_MM_230_HF1_10,C29_S1_N1_F,MM_230_HF1,230,10.0,2.109,2.109,2.109,None,102.109,193.8,132.6,331.9,229.9,131.1,227.2,229.3,229.0,1.032,0.999,1.02,1.0,0.987,0.988,0.997,0.996,0.0
C29_S1_N1_F_MM_230_HF1_11,C29_S1_N1_F,MM_230_HF1,230,11.0,2.11,2.11,2.11,None,102.11,189.0,132.4,326.4,229.3,132.1,228.9,229.3,229.2,1.006,0.997,1.003,0.997,0.995,0.995,0.997,0.997,0.0
C29_S1_N1_F_MM_230_HF1_12,C29_S1_N1_F,MM_230_HF1,230,12.0,2.111,2.111,2.111,None,102.111,193.4,132.4,331.7,229.3,131.1,227.2,229.3,229.0,1.03,0.997,1.02,0.997,0.987,0.988,0.997,0.996,0.0
C29_S1_N1_F_MM_230_HF1_13,C29_S1_N1_F,MM_230_HF1,230,13.0,2.112,2.112,2.112,None,102.112,197.5,132.4,342.8,229.3,130.1,225.1,229.3,228.4,1.052,0.997,1.054,0.997,0.98,0.979,0.997,0.993,0.0
C29_S1_N1_F_MM_230_HF1_14,C29_S1_N1_F,MM_230_HF1,230,14.0,2.113,2.113,2.113,None,102.113,207.3,132.4,353.3,229.3,127.4,220.9,229.3,228.1,1.104,0.997,1.086,0.997,0.959,0.96,0.997,0.992,0.0
C29_S1_N1_F_MM_230_HF1_15,C29_S1_N1_F,MM_230_HF1,230,15.0,2.114,2.114,2.114,None,102.114,209.5,132.4,360.9,229.3,125.0,217.9,229.3,227.7,1.116,0.997,1.11,0.997,0.941,0.947,0.997,0.99,0.0
C29_S1_N1_F_MM_230_HF1_16,C29_S1_N1_F,MM_230_HF1,230,16.0,2.115,2.115,2.115,None,102.115,208.7,132.4,360.3,229.3,123.2,215.0,229.3,227.4,1.111,0.997,1.108,0.997,0.928,0.935,0.997,0.989,0.0
C29_S1_N1_F_MM_230_HF1_17,C29_S1_N1_F,MM_230_HF1,230,17.0,2.116,2.116,2.116,None,102.116,207.6,132.4,361.0,229.3,122.3,211.8,229.3,227.2,1.105,0.997,1.11,0.997,0.921,0.921,0.997,0.988,0.0
C29_S1_N1_F_MM_230_HF1_18,C29_S1_N1_F,MM_230_HF1,230,18.0,2.117,2.117,2.117,None,102.117,206.4,132.5,366.1,229.3,122.4,210.4,229.3,227.1,1.099,0.998,1.126,0.997,0.922,0.915,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF1_19,C29_S1_N1_F,MM_230_HF1,230,19.0,2.118,2.118,2.118,None,102.118,207.7,132.4,366.0,229.3,121.9,210.6,229.3,227.0,1.106,0.997,1.125,0.997,0.918,0.916,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF1_20,C29_S1_N1_F,MM_230_HF1,230,20.0,2.119,2.119,2.119,None,102.119,208.3,132.4,364.3,229.3,121.7,211.8,229.3,226.7,1.109,0.997,1.12,0.997,0.916,0.921,0.997,0.986,0.0
C29_S1_N1_F_MM_230_HF2_1,C29_S1_N1_F,MM_230_HF2,230,1.0,2.1,2.1,2.1,None,102.1,208.4,132.4,362.4,229.8,121.6,210.6,229.3,226.7,1.11,0.997,1.114,0.999,0.916,0.916,0.997,0.986,0.0
C29_S1_N1_F_MM_230_HF2_2,C29_S1_N1_F,MM_230_HF2,230,2.0,2.101,2.101,2.101,None,102.101,208.3,133.0,360.2,230.1,121.9,209.5,229.3,226.8,1.109,1.002,1.107,1.0,0.918,0.911,0.997,0.986,0.0
C29_S1_N1_F_MM_230_HF2_3,C29_S1_N1_F,MM_230_HF2,230,3.0,2.102,2.102,2.102,None,102.102,207.4,133.4,362.7,229.4,122.3,209.5,229.3,227.0,1.104,1.005,1.115,0.997,0.921,0.911,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF2_4,C29_S1_N1_F,MM_230_HF2,230,4.0,2.103,2.103,2.103,None,102.103,206.1,133.5,366.0,229.5,122.4,210.7,229.3,227.1,1.097,1.005,1.125,0.998,0.922,0.916,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF2_5,C29_S1_N1_F,MM_230_HF2,230,5.0,2.104,2.104,2.104,None,102.104,208.5,133.3,366.0,230.2,122.9,213.4,229.3,227.3,1.11,1.004,1.125,1.001,0.926,0.928,0.997,0.988,0.0
C29_S1_N1_F_MM_230_HF2_6,C29_S1_N1_F,MM_230_HF2,230,6.0,2.105,2.105,2.105,None,102.105,209.4,133.0,364.3,230.1,124.0,216.7,229.3,227.4,1.115,1.002,1.12,1.0,0.934,0.942,0.997,0.989,0.0
C29_S1_N1_F_MM_230_HF2_7,C29_S1_N1_F,MM_230_HF2,230,7.0,2.106,2.106,2.106,None,102.106,209.3,132.6,360.5,229.6,125.6,219.0,229.3,227.6,1.115,0.999,1.108,0.998,0.946,0.952,0.997,0.99,0.0
C29_S1_N1_F_MM_230_HF2_8,C29_S1_N1_F,MM_230_HF2,230,8.0,2.107,2.107,2.107,None,102.107,205.0,132.4,353.0,229.3,127.8,221.9,229.3,228.0,1.092,0.997,1.085,0.997,0.962,0.965,0.997,0.991,0.0
C29_S1_N1_F_MM_230_HF2_9,C29_S1_N1_F,MM_230_HF2,230,9.0,2.108,2.108,2.108,None,102.108,198.7,132.4,343.0,229.3,129.9,224.8,229.3,228.4,1.058,0.997,1.055,0.997,0.978,0.977,0.997,0.993,0.0
C29_S1_N1_F_MM_230_HF2_10,C29_S1_N1_F,MM_230_HF2,230,10.0,2.109,2.109,2.109,None,102.109,193.8,132.6,331.9,229.9,131.1,227.2,229.3,229.0,1.032,0.999,1.02,1.0,0.987,0.988,0.997,0.996,0.0
C29_S1_N1_F_MM_230_HF2_11,C29_S1_N1_F,MM_230_HF2,230,11.0,2.11,2.11,2.11,None,102.11,189.0,132.4,326.4,229.3,132.1,228.9,229.3,229.2,1.006,0.997,1.003,0.997,0.995,0.995,0.997,0.997,0.0
C29_S1_N1_F_MM_230_HF2_12,C29_S1_N1_F,MM_230_HF2,230,12.0,2.111,2.111,2.111,None,102.111,193.4,132.4,331.7,229.3,131.1,227.2,229.3,229.0,1.03,0.997,1.02,0.997,0.987,0.988,0.997,0.996,0.0
C29_S1_N1_F_MM_230_HF2_13,C29_S1_N1_F,MM_230_HF2,230,13.0,2.112,2.112,2.112,None,102.112,197.5,132.4,342.8,229.3,130.1,225.1,229.3,228.4,1.052,0.997,1.054,0.997,0.98,0.979,0.997,0.993,0.0
C29_S1_N1_F_MM_230_HF2_14,C29_S1_N1_F,MM_230_HF2,230,14.0,2.113,2.113,2.113,None,102.113,207.3,132.4,353.3,229.3,127.4,220.9,229.3,228.1,1.104,0.997,1.086,0.997,0.959,0.96,0.997,0.992,0.0
C29_S1_N1_F_MM_230_HF2_15,C29_S1_N1_F,MM_230_HF2,230,15.0,2.114,2.114,2.114,None,102.114,209.5,132.4,360.9,229.3,125.0,217.9,229.3,227.7,1.116,0.997,1.11,0.997,0.941,0.947,0.997,0.99,0.0
C29_S1_N1_F_MM_230_HF2_16,C29_S1_N1_F,MM_230_HF2,230,16.0,2.115,2.115,2.115,None,102.115,208.7,132.4,360.3,229.3,123.2,215.0,229.3,227.4,1.111,0.997,1.108,0.997,0.928,0.935,0.997,0.989,0.0
C29_S1_N1_F_MM_230_HF2_17,C29_S1_N1_F,MM_230_HF2,230,17.0,2.116,2.116,2.116,None,102.116,207.6,132.4,361.0,229.3,122.3,211.8,229.3,227.2,1.105,0.997,1.11,0.997,0.921,0.921,0.997,0.988,0.0
C29_S1_N1_F_MM_230_HF2_18,C29_S1_N1_F,MM_230_HF2,230,18.0,2.117,2.117,2.117,None,102.117,206.4,132.5,366.1,229.3,122.4,210.4,229.3,227.1,1.099,0.998,1.126,0.997,0.922,0.915,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF2_19,C29_S1_N1_F,MM_230_HF2,230,19.0,2.118,2.118,2.118,None,102.118,207.7,132.4,366.0,229.3,121.9,210.6,229.3,227.0,1.106,0.997,1.125,0.997,0.918,0.916,0.997,0.987,0.0
C29_S1_N1_F_MM_230_HF2_20,C29_S1_N1_F,MM_230_HF2,230,20.0,2.119,2.119,2.119,None,102.119,208.3,132.4,364.3,229.3,121.7,211.8,229.3,226.7,1.109,0.997,1.12,0.997,0.916,0.921,0.997,0.986,0.0
C29_S1_N1_F_MM_230_HF3_1,C29_S1_N1_F,MM_230_HF3,230,1.0,2.1,2.1,2.1,None,102.1,209.4,133.3,364.0,231.2,122.4,212.0,230.8,228.1,1.115,1.004,1.119,1.005,0.922,0.922,1.003,0.992,0.0
C29_S1_N1_F_MM_230_HF3_2,C29_S1_N1_F,MM_230_HF3,230,2.0,2.101,2.101,2.101,None,102.101,209.2,133.8,361.7,231.6,122.7,210.9,230.8,228.2,1.114,1.008,1.112,1.007,0.924,0.917,1.003,0.992,0.0
C29_S1_N1_F_MM_230_HF3_3,C29_S1_N1_F,MM_230_HF3,230,3.0,2.102,2.102,2.102,None,102.102,208.3,134.2,364.0,230.9,123.1,210.9,230.8,228.4,1.109,1.011,1.119,1.004,0.927,0.917,1.003,0.993,0.0
C29_S1_N1_F_MM_230_HF3_4,C29_S1_N1_F,MM_230_HF3,230,4.0,2.103,2.103,2.103,None,102.103,206.7,134.3,367.4,231.0,123.3,212.1,230.8,228.5,1.101,1.011,1.13,1.004,0.929,0.922,1.003,0.993,0.0
C29_S1_N1_F_MM_230_HF3_5,C29_S1_N1_F,MM_230_HF3,230,5.0,2.104,2.104,2.104,None,102.104,209.4,134.2,367.4,231.6,123.7,214.8,230.8,228.8,1.115,1.011,1.13,1.007,0.932,0.934,1.003,0.995,0.0
C29_S1_N1_F_MM_230_HF3_6,C29_S1_N1_F,MM_230_HF3,230,6.0,2.105,2.105,2.105,None,102.105,210.3,133.8,366.0,231.6,124.9,218.1,230.8,228.9,1.12,1.008,1.125,1.007,0.941,0.948,1.003,0.995,0.0
C29_S1_N1_F_MM_230_HF3_7,C29_S1_N1_F,MM_230_HF3,230,7.0,2.106,2.106,2.106,None,102.106,210.3,133.4,362.2,231.1,126.4,220.4,230.8,229.1,1.12,1.005,1.114,1.005,0.952,0.958,1.003,0.996,0.0
C29_S1_N1_F_MM_230_HF3_8,C29_S1_N1_F,MM_230_HF3,230,8.0,2.107,2.107,2.107,None,102.107,205.9,133.3,354.8,230.8,128.6,223.4,230.8,229.5,1.096,1.004,1.091,1.003,0.968,0.971,1.003,0.998,0.0
C29_S1_N1_F_MM_230_HF3_9,C29_S1_N1_F,MM_230_HF3,230,9.0,2.108,2.108,2.108,None,102.108,199.7,133.3,345.0,230.8,130.7,226.3,230.8,229.9,1.063,1.004,1.061,1.003,0.984,0.984,1.003,1.0,0.0
C29_S1_N1_F_MM_230_HF3_10,C29_S1_N1_F,MM_230_HF3,230,10.0,2.109,2.109,2.109,None,102.109,194.9,133.5,334.1,231.4,132.0,228.7,230.8,230.5,1.038,1.005,1.027,1.006,0.994,0.994,1.003,1.002,0.0
C29_S1_N1_F_MM_230_HF3_11,C29_S1_N1_F,MM_230_HF3,230,11.0,2.11,2.11,2.11,None,102.11,190.2,133.3,328.6,230.8,133.0,230.4,230.8,230.7,1.013,1.004,1.01,1.003,1.002,1.002,1.003,1.003,0.0
C29_S1_N1_F_MM_230_HF3_12,C29_S1_N1_F,MM_230_HF3,230,12.0,2.111,2.111,2.111,None,102.111,194.5,133.3,333.9,230.8,132.0,228.7,230.8,230.5,1.036,1.004,1.027,1.003,0.994,0.994,1.003,1.002,0.0
C29_S1_N1_F_MM_230_HF3_13,C29_S1_N1_F,MM_230_HF3,230,13.0,2.112,2.112,2.112,None,102.112,198.6,133.3,344.8,230.8,131.0,226.6,230.8,229.9,1.058,1.004,1.06,1.003,0.987,0.985,1.003,1.0,0.0
C29_S1_N1_F_MM_230_HF3_14,C29_S1_N1_F,MM_230_HF3,230,14.0,2.113,2.113,2.113,None,102.113,208.2,133.3,355.1,230.8,128.3,222.4,230.8,229.6,1.109,1.004,1.092,1.003,0.966,0.967,1.003,0.998,0.0
C29_S1_N1_F_MM_230_HF3_15,C29_S1_N1_F,MM_230_HF3,230,15.0,2.114,2.114,2.114,None,102.114,210.4,133.3,362.6,230.8,125.8,219.4,230.8,229.1,1.12,1.004,1.115,1.003,0.947,0.954,1.003,0.996,0.0
C29_S1_N1_F_MM_230_HF3_16,C29_S1_N1_F,MM_230_HF3,230,16.0,2.115,2.115,2.115,None,102.115,209.6,133.3,361.8,230.8,124.1,216.4,230.8,228.8,1.116,1.004,1.112,1.003,0.935,0.941,1.003,0.995,0.0
C29_S1_N1_F_MM_230_HF3_17,C29_S1_N1_F,MM_230_HF3,230,17.0,2.116,2.116,2.116,None,102.116,208.5,133.3,362.1,230.8,123.2,213.3,230.8,228.7,1.11,1.004,1.113,1.003,0.928,0.927,1.003,0.994,0.0
C29_S1_N1_F_MM_230_HF3_18,C29_S1_N1_F,MM_230_HF3,230,18.0,2.117,2.117,2.117,None,102.117,207.0,133.3,367.5,230.8,123.2,211.8,230.8,228.5,1.102,1.004,1.13,1.003,0.928,0.921,1.003,0.993,0.0
C29_S1_N1_F_MM_230_HF3_19,C29_S1_N1_F,MM_230_HF3,230,19.0,2.118,2.118,2.118,None,102.118,208.6,133.3,367.4,230.8,122.7,212.0,230.8,228.5,1.111,1.004,1.13,1.003,0.924,0.922,1.003,0.993,0.0
C29_S1_N1_F_MM_230_HF3_20,C29_S1_N1_F,MM_230_HF3,230,20.0,2.119,2.119,2.119,None,102.119,209.3,133.3,366.0,230.8,122.5,213.1,230.8,228.2,1.115,1.004,1.125,1.003,0.923,0.927,1.003,0.992,0.0
C29_S1_N1_F_MM_230_HF4_1,C29_S1_N1_F,MM_230_HF4,230,1.0,2.1,2.1,2.1,None,102.1,203.7,133.3,353.4,230.8,100.7,182.2,230.8,220.7,1.085,1.004,1.086,1.003,0.758,0.792,1.003,0.96,0.0
C29_S1_N1_F_MM_230_HF4_2,C29_S1_N1_F,MM_230_HF4,230,2.0,2.101,2.101,2.101,None,102.101,204.9,133.3,351.7,230.8,101.7,178.2,230.8,220.9,1.091,1.004,1.081,1.003,0.766,0.775,1.003,0.96,0.0
C29_S1_N1_F_MM_230_HF4_3,C29_S1_N1_F,MM_230_HF4,230,3.0,2.102,2.102,2.102,None,102.102,206.0,133.3,350.7,230.8,104.6,178.3,230.8,221.6,1.097,1.004,1.078,1.003,0.788,0.775,1.003,0.963,0.0
C29_S1_N1_F_MM_230_HF4_4,C29_S1_N1_F,MM_230_HF4,230,4.0,2.103,2.103,2.103,None,102.103,203.8,133.7,359.3,230.8,106.3,181.9,230.8,222.2,1.085,1.007,1.105,1.003,0.801,0.791,1.003,0.966,0.0
C29_S1_N1_F_MM_230_HF4_5,C29_S1_N1_F,MM_230_HF4,230,5.0,2.104,2.104,2.104,None,102.104,202.9,134.1,358.7,230.8,107.0,188.6,230.8,223.1,1.08,1.01,1.103,1.003,0.806,0.82,1.003,0.97,0.0
C29_S1_N1_F_MM_230_HF4_6,C29_S1_N1_F,MM_230_HF4,230,6.0,2.105,2.105,2.105,None,102.105,201.7,134.3,355.9,231.4,109.9,197.1,230.8,223.7,1.074,1.011,1.094,1.006,0.828,0.857,1.003,0.973,0.0
C29_S1_N1_F_MM_230_HF4_7,C29_S1_N1_F,MM_230_HF4,230,7.0,2.106,2.106,2.106,None,102.106,204.4,133.9,353.8,232.4,115.3,205.0,230.8,224.9,1.088,1.008,1.088,1.01,0.868,0.891,1.003,0.978,0.0
C29_S1_N1_F_MM_230_HF4_8,C29_S1_N1_F,MM_230_HF4,230,8.0,2.107,2.107,2.107,None,102.107,204.4,133.3,352.3,231.1,122.0,212.4,230.8,226.6,1.088,1.004,1.083,1.005,0.919,0.923,1.003,0.985,0.0
C29_S1_N1_F_MM_230_HF4_9,C29_S1_N1_F,MM_230_HF4,230,9.0,2.108,2.108,2.108,None,102.108,196.1,133.3,343.4,230.8,127.8,220.1,230.8,228.0,1.044,1.004,1.056,1.003,0.962,0.957,1.003,0.991,0.0
C29_S1_N1_F_MM_230_HF4_10,C29_S1_N1_F,MM_230_HF4,230,10.0,2.109,2.109,2.109,None,102.109,194.2,133.3,334.9,230.8,130.8,227.2,230.8,229.8,1.034,1.004,1.03,1.003,0.985,0.988,1.003,0.999,0.0
C29_S1_N1_F_MM_230_HF4_11,C29_S1_N1_F,MM_230_HF4,230,11.0,2.11,2.11,2.11,None,102.11,189.9,133.3,328.9,231.1,132.7,230.1,230.8,230.5,1.011,1.004,1.011,1.005,0.999,1.0,1.003,1.002,0.0
C29_S1_N1_F_MM_230_HF4_12,C29_S1_N1_F,MM_230_HF4,230,12.0,2.111,2.111,2.111,None,102.111,193.9,133.3,334.5,230.9,130.9,227.2,230.8,229.8,1.033,1.004,1.028,1.004,0.986,0.988,1.003,0.999,0.0
C29_S1_N1_F_MM_230_HF4_13,C29_S1_N1_F,MM_230_HF4,230,13.0,2.112,2.112,2.112,None,102.112,196.8,133.3,342.7,230.8,128.0,220.3,230.8,228.0,1.048,1.004,1.054,1.003,0.964,0.958,1.003,0.991,0.0
C29_S1_N1_F_MM_230_HF4_14,C29_S1_N1_F,MM_230_HF4,230,14.0,2.113,2.113,2.113,None,102.113,198.9,133.3,355.9,230.8,122.3,211.8,230.8,226.6,1.059,1.004,1.094,1.003,0.921,0.921,1.003,0.985,0.0
C29_S1_N1_F_MM_230_HF4_15,C29_S1_N1_F,MM_230_HF4,230,15.0,2.114,2.114,2.114,None,102.114,203.0,133.3,355.0,230.8,116.1,205.4,230.8,224.9,1.081,1.004,1.091,1.003,0.874,0.893,1.003,0.978,0.0
C29_S1_N1_F_MM_230_HF4_16,C29_S1_N1_F,MM_230_HF4,230,16.0,2.115,2.115,2.115,None,102.115,204.9,133.3,352.8,230.8,111.3,197.7,230.8,223.5,1.091,1.004,1.085,1.003,0.838,0.86,1.003,0.972,0.0
C29_S1_N1_F_MM_230_HF4_17,C29_S1_N1_F,MM_230_HF4,230,17.0,2.116,2.116,2.116,None,102.116,206.2,133.3,351.6,230.8,108.2,188.0,230.8,222.8,1.098,1.004,1.081,1.003,0.815,0.817,1.003,0.969,0.0
C29_S1_N1_F_MM_230_HF4_18,C29_S1_N1_F,MM_230_HF4,230,18.0,2.117,2.117,2.117,None,102.117,204.1,133.3,359.6,230.8,107.7,181.5,230.8,222.1,1.087,1.004,1.106,1.003,0.811,0.789,1.003,0.966,0.0
C29_S1_N1_F_MM_230_HF4_19,C29_S1_N1_F,MM_230_HF4,230,19.0,2.118,2.118,2.118,None,102.118,205.0,133.3,358.9,230.8,104.0,179.4,230.8,221.7,1.092,1.004,1.103,1.003,0.783,0.78,1.003,0.964,0.0
C29_S1_N1_F_MM_230_HF4_20,C29_S1_N1_F,MM_230_HF4,230,20.0,2.119,2.119,2.119,None,102.119,205.8,133.3,355.8,230.8,101.4,181.2,230.8,220.8,1.096,1.004,1.094,1.003,0.764,0.788,1.003,0.96,0.0
C29_S1_N1_F_MM_230_OFC1_1,C29_S1_N1_F,MM_230_OFC1,230,1.0,2.1,2.1,2.1,None,102.1,210.6,133.4,366.8,231.5,122.5,212.2,231.0,228.4,1.121,1.005,1.128,1.007,0.923,0.923,1.004,0.993,0.0
C29_S1_N1_F_MM_230_OFC1_2,C29_S1_N1_F,MM_230_OFC1,230,2.0,2.101,2.101,2.101,None,102.101,210.4,134.0,364.5,231.8,122.8,211.1,231.0,228.5,1.12,1.009,1.121,1.008,0.925,0.918,1.004,0.993,0.0
C29_S1_N1_F_MM_230_OFC1_3,C29_S1_N1_F,MM_230_OFC1,230,3.0,2.102,2.102,2.102,None,102.102,209.4,134.3,366.3,231.1,123.3,211.1,231.0,228.7,1.115,1.011,1.126,1.005,0.929,0.918,1.004,0.994,0.0
C29_S1_N1_F_MM_230_OFC1_4,C29_S1_N1_F,MM_230_OFC1,230,4.0,2.103,2.103,2.103,None,102.103,208.3,134.4,369.8,231.2,123.3,212.3,231.0,228.8,1.109,1.012,1.137,1.005,0.929,0.923,1.004,0.995,0.0
C29_S1_N1_F_MM_230_OFC1_5,C29_S1_N1_F,MM_230_OFC1,230,5.0,2.104,2.104,2.104,None,102.104,210.8,134.3,369.8,231.8,123.8,215.1,231.0,229.1,1.123,1.011,1.137,1.008,0.932,0.935,1.004,0.996,0.0
C29_S1_N1_F_MM_230_OFC1_6,C29_S1_N1_F,MM_230_OFC1,230,6.0,2.105,2.105,2.105,None,102.105,211.7,133.9,368.2,231.7,125.0,218.4,231.0,229.1,1.127,1.008,1.132,1.007,0.941,0.95,1.004,0.996,0.0
C29_S1_N1_F_MM_230_OFC1_7,C29_S1_N1_F,MM_230_OFC1,230,7.0,2.106,2.106,2.106,None,102.106,211.5,133.5,364.2,231.2,126.5,220.5,231.0,229.4,1.126,1.005,1.12,1.005,0.953,0.959,1.004,0.997,0.0
C29_S1_N1_F_MM_230_OFC1_8,C29_S1_N1_F,MM_230_OFC1,230,8.0,2.107,2.107,2.107,None,102.107,207.0,133.4,356.1,231.1,128.7,223.5,231.0,229.7,1.102,1.005,1.095,1.005,0.969,0.972,1.004,0.999,0.0
C29_S1_N1_F_MM_230_OFC1_9,C29_S1_N1_F,MM_230_OFC1,230,9.0,2.108,2.108,2.108,None,102.108,200.3,133.4,345.8,231.1,130.8,226.4,231.0,230.1,1.067,1.005,1.063,1.005,0.985,0.984,1.004,1.0,0.0
C29_S1_N1_F_MM_230_OFC1_10,C29_S1_N1_F,MM_230_OFC1,230,10.0,2.109,2.109,2.109,None,102.109,195.3,133.6,334.4,231.6,132.0,228.8,231.0,230.6,1.04,1.006,1.028,1.007,0.994,0.995,1.004,1.003,0.0
C29_S1_N1_F_MM_230_OFC1_11,C29_S1_N1_F,MM_230_OFC1,230,11.0,2.11,2.11,2.11,None,102.11,190.5,133.4,329.0,231.1,133.1,230.6,231.0,230.9,1.014,1.005,1.011,1.005,1.002,1.003,1.004,1.004,0.0
C29_S1_N1_F_MM_230_OFC1_12,C29_S1_N1_F,MM_230_OFC1,230,12.0,2.111,2.111,2.111,None,102.111,195.0,133.4,334.2,231.1,132.1,228.8,231.0,230.7,1.038,1.005,1.027,1.005,0.995,0.995,1.004,1.003,0.0
C29_S1_N1_F_MM_230_OFC1_13,C29_S1_N1_F,MM_230_OFC1,230,13.0,2.112,2.112,2.112,None,102.112,199.2,133.4,345.6,231.1,131.0,226.7,231.0,230.1,1.061,1.005,1.063,1.005,0.987,0.986,1.004,1.0,0.0
C29_S1_N1_F_MM_230_OFC1_14,C29_S1_N1_F,MM_230_OFC1,230,14.0,2.113,2.113,2.113,None,102.113,209.3,133.4,356.3,231.1,128.3,222.5,231.0,229.8,1.115,1.005,1.095,1.005,0.966,0.967,1.004,0.999,0.0
C29_S1_N1_F_MM_230_OFC1_15,C29_S1_N1_F,MM_230_OFC1,230,15.0,2.114,2.114,2.114,None,102.114,211.5,133.4,364.4,231.1,125.8,219.4,231.0,229.4,1.126,1.005,1.12,1.005,0.947,0.954,1.004,0.997,0.0
C29_S1_N1_F_MM_230_OFC1_16,C29_S1_N1_F,MM_230_OFC1,230,16.0,2.115,2.115,2.115,None,102.115,210.6,133.4,364.1,231.1,124.1,216.5,231.0,229.1,1.121,1.005,1.119,1.005,0.935,0.941,1.004,0.996,0.0
C29_S1_N1_F_MM_230_OFC1_17,C29_S1_N1_F,MM_230_OFC1,230,17.0,2.116,2.116,2.116,None,102.116,209.5,133.4,364.7,231.1,123.1,213.3,231.0,229.0,1.116,1.005,1.121,1.005,0.927,0.927,1.004,0.996,0.0
C29_S1_N1_F_MM_230_OFC1_18,C29_S1_N1_F,MM_230_OFC1,230,18.0,2.117,2.117,2.117,None,102.117,208.8,133.6,370.4,231.1,123.3,211.9,231.0,228.8,1.112,1.006,1.139,1.005,0.929,0.921,1.004,0.995,0.0
C29_S1_N1_F_MM_230_OFC1_19,C29_S1_N1_F,MM_230_OFC1,230,19.0,2.118,2.118,2.118,None,102.118,210.0,133.5,370.3,231.1,122.8,212.1,231.0,228.8,1.118,1.005,1.138,1.005,0.925,0.922,1.004,0.995,0.0
C29_S1_N1_F_MM_230_OFC1_20,C29_S1_N1_F,MM_230_OFC1,230,20.0,2.119,2.119,2.119,None,102.119,210.6,133.4,368.7,231.1,122.7,213.3,231.0,228.5,1.121,1.005,1.134,1.005,0.924,0.927,1.004,0.993,0.0
C29_S1_N1_F_MM_230_OFC2_1,C29_S1_N1_F,MM_230_OFC2,230,1.0,2.1,2.1,2.1,None,102.1,210.6,133.4,366.8,231.5,122.5,212.2,231.0,228.4,1.121,1.005,1.128,1.007,0.923,0.923,1.004,0.993,0.0
C29_S1_N1_F_MM_230_OFC2_2,C29_S1_N1_F,MM_230_OFC2,230,2.0,2.101,2.101,2.101,None,102.101,210.4,134.0,364.5,231.8,122.8,211.1,231.0,228.5,1.12,1.009,1.121,1.008,0.925,0.918,1.004,0.993,0.0
